contributor,feat_num_activities,feat_num_activity_type,feat_repos,feat_owner,feat_ratio_owner_repo,consecutive_activity_time_mean,consecutive_activity_time_50%,consecutive_activity_time_std,consecutive_activity_time_gini,consecutive_activity_time_IQR,activity_per_repo_mean,activity_per_repo_50%,activity_per_repo_std,activity_per_repo_gini,activity_per_repo_IQR,activity_type_per_repo_mean,activity_type_per_repo_50%,activity_type_per_repo_std,activity_type_per_repo_gini,activity_type_per_repo_IQR,continuous_activity_repo_mean,continuous_activity_repo_50%,continuous_activity_repo_std,continuous_activity_repo_gini,continuous_activity_repo_IQR,time_spent_in_repo_mean,time_spent_in_repo_50%,time_spent_in_repo_std,time_spent_in_repo_gini,time_spent_in_repo_IQR,time_to_switch_repo_mean,time_to_switch_repo_50%,time_to_switch_repo_std,time_to_switch_repo_gini,time_to_switch_repo_IQR,time_to_switch_act_type_mean,time_to_switch_act_type_50%,time_to_switch_act_type_std,time_to_switch_act_type_gini,time_to_switch_act_type_IQR,activity_per_act_type_mean,activity_per_act_type_50%,activity_per_act_type_std,activity_per_act_type_gini,activity_per_act_type_IQR
jessicajaniuk,168,11,5,3,0.6,5.076,0.044,21.016,0.937,0.25,33.6,25.0,37.004,0.502,23.0,3.8,3.0,3.033,0.337,0.0,2.211,1.0,2.753,0.434,1.0,8.682,0.0,42.37,0.884,0.042,2.505,0.073,16.226,0.946,0.236,3.672,0.028,18.718,0.95,0.231,15.273,12.0,16.328,0.509,17.5
alan-agius4,188,13,9,4,0.444,1.018,0.026,4.383,0.901,0.24,20.889,13.0,19.688,0.453,15.0,4.333,3.0,2.062,0.239,2.0,2.043,2.0,1.735,0.337,1.0,1.444,0.0,7.737,0.921,0.01,0.632,0.072,1.836,0.815,0.459,1.094,0.021,4.676,0.9,0.255,14.462,11.0,15.693,0.51,15.0
daffl,147,13,19,10,0.526,13.777,0.059,39.06,0.888,0.863,7.737,3.0,14.364,0.675,4.0,2.421,1.0,2.673,0.462,2.0,3.675,1.0,4.698,0.557,3.25,18.0,0.0,49.647,0.745,0.855,33.113,2.094,55.696,0.754,29.341,17.318,0.026,43.927,0.864,1.036,11.308,7.0,10.323,0.457,10.0
riknoll,249,14,14,4,0.286,2.141,0.028,8.544,0.919,0.203,17.786,5.0,30.892,0.619,13.25,4.714,4.0,2.4,0.268,3.75,4.293,3.0,4.433,0.477,5.0,5.791,0.003,14.417,0.791,0.806,3.422,0.135,10.752,0.861,1.009,2.012,0.026,7.847,0.914,0.211,17.786,11.5,18.048,0.497,21.75
micronaut-build,269,4,72,1,0.014,0.709,0.033,2.763,0.897,0.149,3.736,3.0,3.846,0.471,3.25,1.764,1.0,0.957,0.275,2.0,1.462,1.0,0.753,0.218,1.0,0.042,0.0,0.278,0.925,0.0,0.996,0.059,3.296,0.876,0.243,0.36,0.0,2.152,0.935,0.054,67.25,27.5,93.0,0.559,54.75
tarantoolbot,55,4,4,3,0.75,37.293,13.034,51.837,0.643,58.144,13.75,7.0,18.392,0.586,18.75,1.5,1.0,1.0,0.25,0.5,2.391,1.0,2.35,0.424,2.5,68.383,0.0,148.418,0.596,60.709,20.046,11.311,29.454,0.532,4.679,17.641,10.779,28.343,0.588,5.068,13.75,5.5,17.557,0.505,11.25
peril-automattic[bot],7,2,3,1,0.333,7.76,5.373,9.072,0.559,9.017,2.333,2.0,1.528,0.286,1.5,1.667,2.0,0.577,0.133,0.5,2.333,2.0,1.528,0.286,1.5,12.347,2.186,19.524,0.441,17.428,4.76,4.76,5.375,0.399,3.801,11.401,9.709,9.165,0.371,7.176,3.5,3.5,0.707,0.071,0.5
dotnet-bot,239,4,12,2,0.167,0.171,0.029,0.43,0.769,0.145,19.917,14.5,17.454,0.431,14.25,2.917,3.0,0.996,0.16,0.25,3.366,4.0,2.153,0.317,2.0,0.159,0.035,0.436,0.728,0.099,0.42,0.248,0.604,0.587,0.378,0.174,0.0,0.476,0.817,0.092,59.75,50.0,55.452,0.417,33.25
alluxio-bot,138,5,1,1,1.0,14.858,0.081,33.96,0.835,9.272,138.0,138.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,138.0,138.0,0.0,0.0,0.0,2035.551,2035.551,0.0,0.0,0.0,,,0.0,0.0,,15.839,0.023,37.748,0.849,4.452,27.6,14.0,23.597,0.406,28.0
cardano-bot,300,2,3,2,0.667,3.919,3.979,1.656,0.202,0.979,100.0,26.0,148.536,0.596,134.0,1.333,1.0,0.577,0.167,0.5,8.571,2.0,13.127,0.657,9.5,31.58,0.768,58.352,0.65,36.379,1.956,1.638,1.358,0.385,2.528,1.085,0.329,1.574,0.516,1.062,150.0,150.0,206.475,0.487,146.0
openjdk[bot],198,5,21,1,0.048,0.076,0.0,0.321,0.831,0.016,9.429,8.0,11.352,0.451,3.0,1.619,1.0,1.117,0.294,1.0,1.523,1.0,1.432,0.306,0.0,0.059,0.0,0.379,0.791,0.0,0.057,0.0,0.152,0.738,0.016,0.087,0.001,0.191,0.826,0.049,39.6,16.0,49.42,0.588,65.0
brickbots,141,15,4,2,0.5,15.247,0.046,49.091,0.889,4.076,35.25,3.0,65.86,0.715,36.25,4.75,2.5,5.679,0.513,5.25,20.143,10.0,24.647,0.569,24.0,235.349,68.854,278.442,0.415,458.677,81.19,13.976,162.922,0.762,42.436,17.565,0.061,53.21,0.866,13.685,9.4,4.0,13.015,0.603,8.0
maestro-local-dev[bot],11,3,1,1,1.0,42.836,0.218,76.707,0.74,53.178,11.0,11.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,428.364,428.364,0.0,0.0,0.0,,,0.0,0.0,,0.099,0.077,0.103,0.306,0.086,3.667,2.0,3.786,0.424,3.5
mlpack-bot[bot],99,5,4,1,0.25,16.856,10.718,19.26,0.551,16.118,24.75,10.5,33.1,0.548,22.75,4.0,4.5,1.414,0.156,1.5,2.152,1.0,2.28,0.418,1.0,18.264,0.0,39.381,0.537,13.138,18.039,13.114,17.919,0.499,14.612,17.64,13.001,19.234,0.516,14.612,19.8,17.0,14.446,0.335,9.0
kurator-bot,60,3,1,1,1.0,32.789,0.936,108.728,0.854,20.687,60.0,60.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,60.0,60.0,0.0,0.0,0.0,1934.526,1934.526,0.0,0.0,0.0,,,0.0,0.0,,49.365,0.26,147.429,0.868,25.706,20.0,13.0,20.421,0.433,19.5
scrutinizer-notifier,139,1,15,11,0.733,14.746,0.213,43.164,0.882,3.065,9.267,4.0,13.398,0.57,4.0,1.0,1.0,0.0,0.0,0.0,3.971,2.0,4.176,0.483,3.5,21.579,0.126,56.7,0.807,12.338,37.636,7.898,59.478,0.706,57.69,,,0.0,0.0,,139.0,139.0,0.0,0.0,0.0
smlbiobot,17,2,16,16,1.0,112.54,76.861,154.865,0.589,132.162,1.062,1.0,0.25,0.055,0.0,1.0,1.0,0.0,0.0,0.0,1.062,1.0,0.25,0.055,0.0,0.003,0.0,0.012,0.0,0.0,120.04,97.668,157.265,0.562,125.479,62.061,62.061,50.355,0.287,35.606,8.5,8.5,9.192,0.382,6.5
satish-ravi,236,8,3,1,0.333,2.067,0.1,5.719,0.853,0.879,78.667,9.0,127.657,0.636,112.5,5.0,6.0,3.606,0.311,3.5,29.5,4.0,58.534,0.753,14.0,59.966,0.489,120.135,0.725,39.169,0.867,0.876,0.783,0.454,1.255,2.406,0.084,6.359,0.852,0.896,29.5,26.0,25.338,0.411,14.75
probot-cc[bot],59,1,16,1,0.062,31.336,14.162,50.815,0.65,32.832,3.688,2.0,4.316,0.488,3.25,1.0,1.0,0.0,0.0,0.0,1.229,1.0,0.627,0.166,0.0,5.126,0.0,18.197,0.488,0.0,33.435,13.831,54.581,0.658,37.999,,,0.0,0.0,,59.0,59.0,0.0,0.0,0.0
ender503,24,8,3,3,1.0,62.501,0.084,189.752,0.899,0.466,8.0,3.0,10.44,0.528,9.5,2.667,3.0,1.528,0.25,1.5,8.0,3.0,10.44,0.528,9.5,81.082,0.864,139.691,0.496,121.192,597.143,597.143,375.527,0.222,265.538,110.241,0.288,256.396,0.841,34.741,3.0,1.0,3.854,0.521,1.5
goran-ethernal,240,8,9,3,0.333,3.167,0.136,9.608,0.873,0.965,26.667,9.0,58.964,0.753,12.0,3.667,2.0,3.0,0.411,5.0,4.898,2.0,7.779,0.596,3.0,6.661,0.009,18.794,0.799,1.246,8.97,1.201,16.9,0.768,5.256,4.166,0.132,11.809,0.863,1.297,30.0,14.5,32.452,0.488,23.5
dhollinger,24,12,11,7,0.636,53.432,7.674,86.366,0.723,56.098,2.182,1.0,2.714,0.447,1.0,1.636,1.0,1.567,0.333,0.0,1.5,1.0,1.095,0.276,0.0,26.17,0.0,71.572,0.347,0.0,54.014,20.579,85.016,0.706,55.915,55.851,8.425,87.598,0.71,57.629,2.0,1.0,1.859,0.389,1.25
salesforce-cla[bot],100,1,53,16,0.302,5.295,0.271,10.236,0.778,5.859,1.887,1.0,1.103,0.298,2.0,1.0,1.0,0.0,0.0,0.0,1.099,1.0,0.396,0.085,0.0,0.043,0.0,0.249,0.484,0.0,5.781,0.514,10.616,0.765,6.505,,,0.0,0.0,,100.0,100.0,0.0,0.0,0.0
danielrosenwasser,214,12,10,6,0.6,2.731,0.086,11.036,0.903,0.555,21.4,2.5,45.843,0.779,3.25,3.5,2.0,4.035,0.5,1.75,5.632,2.0,7.423,0.585,6.75,6.425,0.077,14.104,0.73,1.486,9.124,1.444,22.297,0.809,2.902,3.342,0.111,12.413,0.894,0.848,17.833,15.5,11.416,0.34,14.5
boegelbot,300,1,2,1,0.5,1.347,0.141,4.13,0.854,0.477,150.0,150.0,209.304,0.493,148.0,1.0,1.0,0.0,0.0,0.0,60.0,4.0,81.222,0.616,122.0,80.02,0.347,109.63,0.349,190.153,0.643,0.667,0.402,0.293,0.603,,,0.0,0.0,,300.0,300.0,0.0,0.0,0.0
pearu,247,9,10,8,0.8,2.564,0.068,7.362,0.858,1.062,24.7,5.5,53.914,0.757,11.5,2.4,1.5,2.066,0.4,1.75,3.859,1.0,7.012,0.618,1.25,2.998,0.0,8.719,0.745,1.103,6.967,1.262,12.491,0.74,8.79,4.121,0.26,9.369,0.814,2.222,27.444,13.0,35.179,0.569,26.0
sergiodxa,266,14,46,23,0.5,2.589,0.0,12.932,0.943,0.027,5.783,1.0,8.976,0.625,7.0,1.652,1.0,1.716,0.349,0.0,4.433,1.0,5.706,0.571,5.0,1.228,0.0,6.992,0.901,0.007,10.378,0.119,25.133,0.845,5.465,6.18,0.031,19.519,0.892,0.598,19.0,7.0,33.593,0.67,16.0
bloggerbust-bot,112,3,1,1,1.0,17.895,0.0,42.082,0.813,14.134,112.0,112.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,112.0,112.0,0.0,0.0,0.0,1986.332,1986.332,0.0,0.0,0.0,,,0.0,0.0,,19.099,0.0,43.221,0.813,15.61,37.333,34.0,5.774,0.06,5.0
shopsysbot,300,3,21,1,0.048,1.278,0.0,6.342,0.921,0.014,14.286,7.0,14.506,0.424,4.0,3.0,3.0,0.0,0.0,0.0,1.141,1.0,0.605,0.114,0.0,0.281,0.0,2.362,0.761,0.0,1.176,0.0,6.552,0.94,0.001,0.002,0.0,0.01,0.873,0.0,100.0,21.0,136.832,0.527,118.5
adacore-bot,299,5,22,1,0.045,1.276,0.182,5.069,0.832,0.645,13.591,5.0,25.723,0.666,13.5,1.364,1.0,0.79,0.221,0.0,1.565,1.0,1.332,0.303,1.0,0.42,0.0,4.06,0.89,0.0,1.579,0.342,4.878,0.784,0.988,0.428,0.027,1.127,0.823,0.285,59.8,14.0,110.208,0.717,26.0
dti-github-bot,297,7,12,1,0.083,7.172,1.592,11.612,0.71,9.787,24.75,24.5,20.693,0.451,36.25,1.417,1.0,1.165,0.26,0.0,1.539,1.0,1.489,0.285,1.0,2.797,0.0,9.072,0.707,0.116,8.245,2.84,11.731,0.659,12.462,5.85,1.39,9.039,0.706,7.542,42.429,2.0,101.815,0.814,7.5
sre-bot,165,5,15,2,0.133,12.674,0.001,38.178,0.851,7.987,11.0,10.0,7.512,0.355,7.5,3.133,4.0,1.642,0.281,3.0,1.154,1.0,0.479,0.119,0.0,1.955,0.0,7.814,0.519,0.0,12.669,0.001,40.559,0.873,4.38,22.599,7.901,31.335,0.639,25.636,33.0,23.0,21.679,0.315,34.0
rasabot,5,2,1,1,1.0,133.458,85.597,161.755,0.551,172.522,5.0,5.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,533.831,533.831,0.0,0.0,0.0,,,0.0,0.0,,141.403,141.403,0.0,0.0,0.0,2.5,2.5,0.707,0.1,0.5
wangyum,87,12,9,4,0.444,18.464,0.361,61.435,0.884,5.245,9.667,4.0,16.985,0.662,7.0,2.778,2.0,2.224,0.382,2.0,2.9,1.0,5.359,0.542,1.0,27.533,0.0,84.832,0.783,1.529,26.272,1.637,79.333,0.825,22.986,21.239,0.785,66.921,0.846,18.619,7.25,2.5,14.265,0.643,2.25
pylancebot,63,3,3,2,0.667,33.299,0.471,90.856,0.789,25.153,21.0,19.0,4.359,0.085,4.0,2.0,2.0,1.0,0.222,1.0,1.853,2.0,0.702,0.197,1.0,23.401,0.0,60.409,0.785,0.172,38.452,19.112,116.055,0.785,25.649,28.337,0.119,101.608,0.835,22.185,21.0,22.0,8.544,0.18,8.5
hsimbot,300,5,3,1,0.333,6.661,0.049,9.13,0.678,13.04,100.0,124.0,62.554,0.262,59.0,2.333,3.0,1.155,0.19,1.0,8.108,3.0,9.422,0.543,10.0,45.91,0.704,88.44,0.745,26.869,8.137,8.905,6.967,0.473,12.129,3.886,0.001,6.611,0.732,5.789,60.0,6.0,120.244,0.737,7.0
maropu,25,3,15,14,0.933,73.461,30.605,154.456,0.741,64.135,1.667,1.0,1.839,0.352,0.0,1.067,1.0,0.258,0.058,0.0,1.667,1.0,1.839,0.352,0.0,7.366,0.0,19.471,0.363,0.0,118.041,46.853,191.559,0.63,103.882,23.839,10.873,32.313,0.565,30.299,8.333,11.0,6.429,0.32,6.0
prb0t,7,3,1,1,1.0,247.861,0.001,607.132,0.8,0.001,7.0,7.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,1487.167,1487.167,0.0,0.0,0.0,,,0.0,0.0,,297.433,0.001,665.08,0.75,0.001,2.333,2.0,0.577,0.095,0.5
sudo[bot],70,4,3,3,1.0,30.459,0.001,49.856,0.731,35.156,23.333,31.0,18.717,0.333,17.5,2.667,3.0,0.577,0.083,0.5,4.375,2.0,4.588,0.432,2.0,72.288,0.001,166.747,0.817,25.283,63.004,61.006,39.157,0.338,76.191,28.861,0.001,49.553,0.748,28.603,17.5,18.0,17.916,0.45,30.5
freesewing-bot,140,4,1,1,1.0,11.056,0.01,24.866,0.82,5.338,140.0,140.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,140.0,140.0,0.0,0.0,0.0,1536.727,1536.727,0.0,0.0,0.0,,,0.0,0.0,,8.546,0.0,21.807,0.84,4.142,35.0,18.5,37.032,0.432,27.5
openui5bot,299,6,14,1,0.071,0.89,0.115,2.783,0.839,0.488,21.357,4.0,66.125,0.813,3.75,2.0,1.0,1.301,0.311,2.0,5.75,1.0,15.208,0.728,2.0,3.243,0.0,7.494,0.559,0.017,1.893,0.054,5.16,0.874,0.405,0.494,0.054,1.282,0.766,0.462,49.833,4.0,112.812,0.794,7.5
rdp,44,8,11,6,0.545,46.407,1.663,105.679,0.831,30.142,4.0,2.0,4.219,0.492,4.5,1.636,1.0,0.924,0.263,1.5,1.692,1.0,1.32,0.308,1.0,36.226,0.0,121.345,0.777,0.082,42.146,1.663,106.536,0.855,9.967,59.08,2.007,129.301,0.823,33.287,5.5,2.5,5.477,0.489,7.25
stage-branch-merger[bot],291,4,7,2,0.286,5.366,0.206,13.354,0.841,2.584,41.571,4.0,91.649,0.762,10.0,2.286,2.0,0.756,0.107,0.0,9.094,2.5,17.058,0.675,3.25,33.587,0.149,86.898,0.83,10.692,15.524,10.349,18.321,0.582,16.854,7.662,0.044,17.117,0.808,7.264,72.75,56.0,78.53,0.496,110.75
afterlogic-support,108,4,61,1,0.016,17.277,0.109,54.775,0.892,1.555,1.77,1.0,1.322,0.319,1.0,1.295,1.0,0.46,0.161,1.0,1.333,1.0,0.632,0.193,1.0,5.808,0.0,48.784,0.945,0.005,17.228,0.17,41.047,0.85,6.814,15.331,0.029,39.84,0.871,1.764,27.0,13.0,30.768,0.454,19.0
stream-ios-bot,136,4,7,1,0.143,15.619,2.401,36.239,0.771,14.116,19.429,12.0,25.612,0.494,4.5,2.0,2.0,0.577,0.122,0.0,2.429,2.0,2.641,0.403,1.0,16.076,0.0,60.542,0.785,0.415,21.97,1.219,48.776,0.811,14.906,21.481,1.023,49.764,0.767,14.652,34.0,29.0,30.507,0.426,34.0
pulpbot,300,5,17,1,0.059,1.245,0.0,6.225,0.948,0.001,17.647,13.0,16.989,0.463,14.0,3.353,3.0,0.931,0.132,1.0,3.846,2.0,4.255,0.504,3.0,0.542,0.0,2.627,0.927,0.002,4.283,0.001,11.496,0.841,0.312,1.107,0.0,5.691,0.95,0.001,60.0,72.0,49.295,0.403,66.0
zebot,235,4,4,1,0.25,4.061,0.635,7.722,0.771,3.181,58.75,30.0,81.553,0.614,86.75,1.75,1.0,1.5,0.321,0.75,2.35,1.0,2.989,0.459,2.0,7.413,0.0,21.227,0.645,1.777,2.112,0.082,4.703,0.823,1.21,1.982,0.045,4.531,0.829,1.206,58.75,26.5,81.932,0.599,74.25
framabot,113,2,2,2,1.0,18.079,0.258,57.04,0.811,16.393,56.5,56.5,34.648,0.217,24.5,1.0,1.0,0.0,0.0,0.0,1.852,1.0,1.515,0.339,1.0,19.906,0.0,77.39,0.792,0.999,13.508,0.003,25.208,0.762,15.024,13.508,0.003,25.208,0.762,15.024,56.5,56.5,34.648,0.217,24.5
vimc-robot,35,4,2,1,0.5,61.607,0.0,144.925,0.836,20.349,17.5,17.5,17.678,0.357,12.5,2.0,2.0,1.414,0.25,1.0,3.182,1.0,2.523,0.384,5.0,182.452,0.0,264.718,0.315,291.942,8.766,1.8,11.095,0.627,17.207,52.558,0.0,146.083,0.875,17.498,8.75,6.0,6.238,0.293,4.75
arshbot,59,7,11,4,0.364,9.525,0.042,32.356,0.906,0.869,5.364,2.0,6.439,0.545,5.0,1.909,2.0,1.136,0.286,1.0,1.735,1.0,1.959,0.368,0.0,1.62,0.0,5.584,0.686,0.0,15.071,0.039,42.045,0.88,2.077,15.466,0.044,43.251,0.881,4.83,8.429,6.0,7.829,0.349,1.5
aws-sdk-java-automation,249,5,2,1,0.5,6.025,0.037,14.79,0.817,2.515,124.5,124.5,51.619,0.147,36.5,3.5,3.5,2.121,0.214,1.5,2.83,2.0,1.186,0.195,1.0,0.153,0.017,0.347,0.752,0.049,17.018,6.669,20.971,0.57,19.312,3.995,0.032,11.964,0.866,0.864,49.8,49.0,51.315,0.492,46.0
ro-ka,5,1,5,5,1.0,459.296,342.655,495.261,0.501,506.674,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459.296,342.655,495.261,0.501,506.674,,,0.0,0.0,,5.0,5.0,0.0,0.0,0.0
brettchabot,75,14,5,4,0.8,24.921,0.264,60.001,0.846,18.665,15.0,9.0,21.622,0.597,8.0,4.4,3.0,3.975,0.418,3.0,5.0,2.0,7.865,0.581,4.0,64.933,0.059,172.394,0.792,20.843,62.157,3.433,97.367,0.715,130.57,29.165,0.392,65.952,0.835,21.559,5.357,4.5,4.106,0.412,6.5
dlang-bot,201,3,6,1,0.167,4.026,1.163,6.194,0.688,4.422,33.5,21.5,41.563,0.576,38.75,1.667,1.5,0.816,0.233,1.0,1.861,1.0,1.562,0.353,1.0,2.886,0.0,8.159,0.695,0.769,4.613,1.923,6.168,0.638,5.979,4.894,2.277,6.15,0.592,5.105,67.0,45.0,79.322,0.511,77.0
a631807682,272,11,11,4,0.364,7.584,0.252,10.035,0.664,19.446,24.727,2.0,57.153,0.8,10.0,2.182,1.0,1.888,0.386,1.5,3.676,2.0,4.708,0.535,3.0,19.427,0.023,47.735,0.742,6.516,8.462,7.432,7.072,0.469,11.795,6.403,2.89,6.949,0.575,12.72,24.727,5.0,59.684,0.744,7.0
devversion,192,10,7,5,0.714,5.425,0.055,19.842,0.867,2.74,27.429,19.0,38.794,0.622,29.0,3.429,3.0,2.76,0.405,4.0,2.667,2.0,3.259,0.451,2.0,8.353,0.001,39.92,0.875,0.485,6.125,0.111,28.794,0.896,2.259,3.347,0.079,7.458,0.824,2.54,19.2,11.5,19.424,0.495,16.75
cake-contrib-bot,300,5,10,3,0.3,6.181,6.905,5.862,0.438,11.997,30.0,9.5,48.415,0.678,33.5,1.2,1.0,0.422,0.133,0.0,1.875,1.0,2.552,0.417,0.0,8.926,0.0,29.987,0.657,0.0,2.641,0.002,4.448,0.721,4.48,1.738,0.001,4.083,0.82,0.002,60.0,22.0,91.277,0.569,1.0
sourcegraph-bot,300,1,2,2,1.0,0.093,0.062,0.092,0.463,0.097,150.0,150.0,207.889,0.49,147.0,1.0,1.0,0.0,0.0,0.0,42.857,3.0,76.534,0.719,40.5,3.904,0.048,7.434,0.567,3.472,0.071,0.069,0.022,0.163,0.031,,,0.0,0.0,,300.0,300.0,0.0,0.0,0.0
dbu,262,12,21,10,0.476,2.749,0.026,14.508,0.953,0.102,12.476,4.0,19.203,0.662,9.0,4.143,4.0,3.103,0.403,6.0,3.589,2.0,4.129,0.5,3.0,2.295,0.011,11.599,0.894,0.293,7.637,0.089,26.064,0.915,0.171,2.45,0.018,14.009,0.959,0.068,21.833,14.5,24.745,0.5,19.75
jlukic,49,6,38,35,0.921,43.089,11.319,78.349,0.714,65.897,1.289,1.0,0.898,0.201,0.0,1.158,1.0,0.547,0.126,0.0,1.114,1.0,0.387,0.094,0.0,0.027,0.0,0.14,0.611,0.0,48.071,20.107,81.396,0.682,84.542,30.592,1.015,54.671,0.761,18.172,8.167,3.0,13.288,0.636,4.25
neos-bot,296,3,55,1,0.018,1.748,0.009,8.286,0.929,0.02,5.382,4.0,6.048,0.487,5.0,1.418,1.0,0.534,0.182,1.0,1.358,1.0,0.774,0.21,1.0,0.336,0.0,3.491,0.936,0.0,2.039,0.011,9.009,0.92,0.027,0.994,0.001,4.387,0.945,0.015,98.667,110.0,86.558,0.387,86.0
machinefl,223,4,6,1,0.167,9.717,0.358,18.516,0.764,10.997,37.167,37.0,26.888,0.373,39.75,3.167,3.5,1.169,0.167,1.0,2.253,2.0,1.272,0.268,1.0,6.367,0.0,20.346,0.853,0.001,15.581,6.479,21.319,0.648,21.112,8.182,0.012,16.492,0.788,7.044,55.75,66.5,36.737,0.299,44.25
romo4ka-bot,18,6,7,5,0.714,69.325,0.111,198.592,0.893,0.563,2.571,3.0,1.272,0.254,2.0,2.286,2.0,1.38,0.304,2.5,1.8,2.0,0.789,0.222,1.0,2.944,0.021,8.881,0.811,0.41,127.677,0.157,265.803,0.809,1.981,78.568,0.157,210.463,0.879,1.267,3.0,3.0,1.265,0.185,0.0
sowasvonbot,174,9,4,3,0.75,4.305,0.018,36.774,0.982,0.073,43.5,5.0,79.727,0.707,45.0,3.0,2.5,2.16,0.333,2.0,24.857,1.0,40.667,0.706,32.0,7.237,0.0,12.067,0.322,8.884,115.687,6.021,175.907,0.674,233.173,5.119,0.015,40.281,0.981,0.073,19.333,5.0,27.482,0.65,33.0
jab,192,16,33,25,0.758,10.839,0.562,24.979,0.818,8.871,5.818,1.0,16.531,0.73,2.0,1.758,1.0,1.751,0.353,1.0,2.341,1.0,3.539,0.477,1.0,6.982,0.0,26.236,0.802,0.316,18.49,2.793,30.74,0.729,21.581,10.657,0.587,23.553,0.804,11.982,12.0,4.5,18.155,0.611,8.0
amurzeau,88,14,10,5,0.5,17.383,0.044,56.327,0.881,0.571,8.8,5.0,11.173,0.548,8.5,2.8,2.0,2.394,0.379,1.75,3.385,2.5,3.112,0.453,4.0,37.138,0.0,117.679,0.807,0.698,21.87,1.801,46.232,0.781,24.165,23.708,0.08,67.578,0.87,3.274,6.286,2.5,11.532,0.651,3.5
c4milo,176,12,58,51,0.879,12.198,2.572,21.108,0.724,16.488,3.034,1.0,9.712,0.642,0.0,1.31,1.0,1.327,0.225,0.0,1.833,1.0,2.17,0.4,0.0,3.96,0.0,15.108,0.672,0.0,18.469,12.865,23.254,0.578,21.232,12.457,4.531,18.127,0.665,17.401,14.667,7.5,16.999,0.572,21.75
rtribotte,155,11,9,7,0.778,7.056,0.244,20.318,0.874,1.489,17.222,3.0,30.589,0.727,7.0,2.222,1.0,2.279,0.411,1.0,2.183,2.0,1.743,0.359,2.0,7.765,0.0,21.413,0.781,0.962,7.649,0.399,22.917,0.88,1.784,6.641,0.309,19.45,0.865,2.061,14.091,4.0,15.443,0.54,17.5
qutebrowser-bot,31,3,1,1,1.0,67.2,0.001,80.443,0.535,167.99,31.0,31.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,31.0,31.0,0.0,0.0,0.0,2015.991,2015.991,0.0,0.0,0.0,,,0.0,0.0,,63.724,0.001,79.541,0.556,167.99,10.333,12.0,3.786,0.151,3.5
stoplight-bot,84,9,9,1,0.111,19.722,0.002,71.168,0.92,0.987,9.333,6.0,12.042,0.526,5.0,3.444,3.0,1.667,0.244,2.0,5.6,3.0,5.591,0.495,6.5,13.617,0.004,30.557,0.754,4.403,102.336,31.483,148.596,0.676,155.869,19.799,0.002,72.936,0.923,1.384,9.333,10.0,7.467,0.423,15.0
hironsan,86,6,20,19,0.95,25.015,0.001,50.008,0.766,26.89,4.3,1.0,13.627,0.723,0.0,1.3,1.0,0.979,0.212,0.0,2.966,1.0,2.884,0.462,5.0,8.751,0.0,17.961,0.527,5.096,66.875,41.414,68.524,0.516,95.596,23.458,0.001,50.803,0.792,24.358,14.333,18.5,10.948,0.368,13.75
clearlydefinedbot,300,4,2,1,0.5,0.703,0.0,4.278,0.935,0.005,150.0,150.0,176.777,0.417,125.0,4.0,4.0,0.0,0.0,0.0,33.333,20.0,38.01,0.541,42.0,21.84,3.226,41.68,0.761,16.01,1.716,0.218,2.963,0.708,1.929,0.964,0.0,5.076,0.924,0.009,75.0,69.0,32.052,0.202,33.5
megastep,29,9,10,10,1.0,54.472,0.103,140.548,0.836,44.423,2.9,1.0,5.666,0.583,0.0,1.6,1.0,1.897,0.338,0.0,1.706,1.0,1.213,0.308,2.0,16.399,0.0,46.108,0.62,0.022,77.902,11.426,179.032,0.798,60.716,71.788,0.945,168.043,0.796,70.393,3.222,3.0,2.539,0.375,3.0
alxhub,212,10,3,3,1.0,1.802,0.008,8.064,0.932,0.038,70.667,2.0,118.934,0.648,103.0,4.0,2.0,4.359,0.444,4.0,30.286,2.0,46.654,0.677,48.0,48.98,0.423,74.158,0.559,87.398,6.221,1.651,8.426,0.628,11.86,1.563,0.008,6.319,0.926,0.044,21.2,9.5,26.873,0.598,23.25
obiot,134,9,9,3,0.333,14.0,0.424,30.632,0.807,16.094,14.889,1.0,37.002,0.806,1.0,1.889,1.0,2.315,0.405,0.0,4.963,2.0,7.408,0.572,3.5,43.642,0.096,107.617,0.77,39.013,26.292,4.992,47.103,0.729,25.369,21.301,1.1,34.171,0.732,25.118,14.889,7.0,28.699,0.655,4.0
