contributor,feat_num_activities,feat_num_activity_type,feat_repos,feat_owner,feat_ratio_owner_repo,consecutive_activity_time_mean,consecutive_activity_time_50%,consecutive_activity_time_std,consecutive_activity_time_gini,consecutive_activity_time_IQR,activity_per_repo_mean,activity_per_repo_50%,activity_per_repo_std,activity_per_repo_gini,activity_per_repo_IQR,activity_type_per_repo_mean,activity_type_per_repo_50%,activity_type_per_repo_std,activity_type_per_repo_gini,activity_type_per_repo_IQR,continuous_activity_repo_mean,continuous_activity_repo_50%,continuous_activity_repo_std,continuous_activity_repo_gini,continuous_activity_repo_IQR,time_spent_in_repo_mean,time_spent_in_repo_50%,time_spent_in_repo_std,time_spent_in_repo_gini,time_spent_in_repo_IQR,time_to_switch_repo_mean,time_to_switch_repo_50%,time_to_switch_repo_std,time_to_switch_repo_gini,time_to_switch_repo_IQR,time_to_switch_act_type_mean,time_to_switch_act_type_50%,time_to_switch_act_type_std,time_to_switch_act_type_gini,time_to_switch_act_type_IQR,activity_per_act_type_mean,activity_per_act_type_50%,activity_per_act_type_std,activity_per_act_type_gini,activity_per_act_type_IQR
imagesc-bot,142,3,53,19,0.358,14.868,5.201,21.457,0.65,18.269,2.679,2.0,3.989,0.47,1.0,1.321,1.0,0.51,0.174,1.0,1.291,1.0,0.85,0.197,0.0,0.779,0.0,3.938,0.736,0.0,18.447,9.646,22.953,0.598,21.47,12.159,3.999,19.905,0.681,14.765,47.333,44.0,44.095,0.413,44.0
acouch,201,13,4,3,0.75,3.254,0.194,10.992,0.878,1.074,50.25,7.5,90.042,0.703,55.75,4.0,1.0,6.0,0.562,3.0,28.714,7.0,39.11,0.624,40.0,85.787,0.36,122.975,0.54,146.042,8.377,2.955,10.85,0.605,14.401,3.7,0.463,9.968,0.825,1.544,15.462,7.0,16.415,0.543,30.0
timja,190,12,27,5,0.185,1.267,0.009,3.359,0.862,0.413,7.037,2.0,13.908,0.653,5.0,2.704,2.0,2.035,0.38,3.5,2.714,1.5,3.796,0.489,1.75,0.66,0.0,2.467,0.857,0.007,2.801,0.558,4.599,0.731,2.985,1.285,0.007,3.5,0.871,0.115,15.833,7.5,18.698,0.567,14.75
async-aws-bot,121,2,4,3,0.75,17.975,3.436,26.925,0.659,22.499,30.25,33.0,20.402,0.316,16.75,1.0,1.0,0.0,0.0,0.0,1.186,1.0,0.391,0.128,0.0,10.207,0.0,26.666,0.36,0.0,11.049,1.535,17.396,0.653,21.529,4.551,0.196,12.98,0.851,1.477,60.5,60.5,43.134,0.252,30.5
iree-github-actions-bot,300,3,2,2,1.0,4.524,1.588,6.458,0.68,5.692,150.0,150.0,107.48,0.253,76.0,3.0,3.0,0.0,0.0,0.0,150.0,150.0,107.48,0.253,76.0,675.642,675.642,511.326,0.268,361.562,1.469,1.469,0.0,0.0,0.0,5.647,1.59,7.646,0.668,10.882,100.0,58.0,72.746,0.28,63.0
pep8speaks,300,2,114,82,0.719,2.943,1.156,4.83,0.648,2.883,2.632,2.0,2.37,0.424,2.0,1.0,1.0,0.0,0.0,0.0,1.075,1.0,0.347,0.067,0.0,0.086,0.0,0.692,0.709,0.0,3.08,1.264,4.944,0.637,3.061,1.847,0.788,2.728,0.638,2.562,150.0,150.0,206.475,0.487,146.0
retrogamedeveloper,10,2,1,1,1.0,149.778,0.002,311.177,0.807,61.208,10.0,10.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,1348.006,1348.006,0.0,0.0,0.0,,,0.0,0.0,,149.778,0.002,311.177,0.807,61.208,5.0,5.0,0.0,0.0,0.0
gladosbluewallet,244,5,1,1,1.0,1.044,0.091,2.447,0.806,0.704,244.0,244.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,244.0,244.0,0.0,0.0,0.0,253.652,253.652,0.0,0.0,0.0,,,0.0,0.0,,0.699,0.0,1.722,0.825,0.203,48.8,28.0,76.777,0.644,27.0
nur-bot,300,1,2,1,0.5,0.546,0.117,0.937,0.716,0.611,150.0,150.0,8.485,0.02,6.0,1.0,1.0,0.0,0.0,0.0,2.069,2.0,1.058,0.232,1.0,0.516,0.002,1.291,0.816,0.099,0.613,0.118,0.976,0.657,0.505,,,0.0,0.0,,300.0,300.0,0.0,0.0,0.0
karmada-bot,131,4,3,1,0.333,1.953,0.245,5.883,0.821,1.392,43.667,27.0,50.123,0.489,48.0,3.0,3.0,1.0,0.148,1.0,8.188,4.0,9.181,0.536,10.5,12.337,2.071,25.979,0.752,4.509,3.763,1.804,4.261,0.537,2.778,1.428,0.239,3.079,0.783,1.234,32.75,18.5,41.339,0.559,39.75
gitsaibot,128,11,4,3,0.75,16.907,0.143,43.235,0.862,5.158,32.0,16.0,42.622,0.559,26.5,4.0,3.5,2.944,0.344,2.5,3.282,1.0,4.359,0.52,3.0,28.291,0.0,83.357,0.779,3.35,27.47,0.268,57.002,0.801,24.335,17.978,0.149,43.64,0.845,17.362,11.636,10.0,7.243,0.325,7.5
freerdp-bot,300,1,1,1,1.0,4.176,0.324,13.278,0.845,1.538,300.0,300.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,1248.645,1248.645,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,300.0,300.0,0.0,0.0,0.0
gryphonbot,12,1,3,1,0.333,174.587,114.94,238.968,0.547,121.8,4.0,3.0,3.606,0.389,3.5,1.0,1.0,0.0,0.0,0.0,2.4,2.0,1.673,0.333,2.0,295.78,17.438,624.835,0.629,48.507,110.389,113.124,41.453,0.174,28.018,,,0.0,0.0,,12.0,12.0,0.0,0.0,0.0
dongjoon-hyun,253,8,7,5,0.714,0.146,0.012,0.661,0.855,0.06,36.143,2.0,61.81,0.718,38.5,2.286,2.0,1.799,0.357,1.5,3.667,2.0,4.324,0.433,3.0,0.413,0.006,1.882,0.873,0.141,0.121,0.028,0.203,0.712,0.144,0.158,0.009,0.725,0.86,0.07,31.625,26.5,21.374,0.334,23.5
pcktbot,34,4,7,2,0.286,62.841,0.305,192.324,0.875,26.912,4.857,5.0,3.288,0.345,4.5,2.429,3.0,0.976,0.168,1.0,3.778,4.0,2.489,0.346,4.0,17.713,0.644,43.565,0.735,6.05,239.294,63.999,347.634,0.636,238.336,65.779,0.196,226.905,0.904,6.339,8.5,5.0,9.256,0.471,8.0
tensorflow-jenkins,85,4,2,2,1.0,24.848,23.965,21.955,0.364,0.595,42.5,42.5,51.619,0.429,36.5,2.5,2.5,2.121,0.3,1.5,6.538,1.0,16.107,0.753,0.0,155.031,0.0,400.757,0.419,0.0,5.984,0.099,14.705,0.843,2.849,25.55,4.819,36.246,0.679,43.115,21.25,12.5,24.254,0.479,14.25
ralphtheninja,10,5,3,3,1.0,237.485,0.059,675.522,0.876,27.432,3.333,2.0,3.215,0.4,3.0,1.667,2.0,0.577,0.133,0.5,3.333,2.0,3.215,0.4,3.0,24.068,0.0,41.686,0.5,36.101,1032.58,1032.58,1421.479,0.487,1005.137,534.302,49.744,1002.717,0.72,542.882,2.0,1.0,2.236,0.4,0.0
itsanametoo,219,9,10,2,0.2,0.694,0.007,3.482,0.922,0.148,21.9,8.5,31.712,0.658,26.75,3.8,3.5,2.821,0.389,5.5,4.562,3.0,4.938,0.482,3.5,0.51,0.003,1.514,0.815,0.177,2.699,0.418,7.104,0.83,0.902,0.511,0.004,2.867,0.935,0.092,24.333,10.0,24.469,0.507,38.0
